timestamp, utilization.gpu [%], memory.used [MiB], power.draw [W], temperature.gpu
2026/09/06 16:13:40.718, 93 %, 32017 MiB, 389.13 W, 52
2026/09/06 16:13:40.968, 93 %, 32017 MiB, 384.44 W, 52
2026/09/06 16:13:41.218, 93 %, 32017 MiB, 384.44 W, 52
2026/09/06 16:13:41.468, 94 %, 32017 MiB, 386.98 W, 53
2026/09/06 16:13:41.719, 94 %, 32017 MiB, 386.98 W, 53
2026/09/06 16:13:41.969, 94 %, 32017 MiB, 386.50 W, 53
2026/09/06 16:13:42.219, 94 %, 32017 MiB, 386.50 W, 53
2026/09/06 16:13:42.469, 93 %, 32017 MiB, 366.93 W, 52
2026/09/06 16:13:42.720, 93 %, 32017 MiB, 366.93 W, 52
2026/09/06 16:13:42.970, 93 %, 32017 MiB, 386.75 W, 54
2026/09/06 16:13:43.220, 93 %, 32017 MiB, 386.75 W, 54
2026/09/06 16:13:43.470, 93 %, 32017 MiB, 388.87 W, 53
2026/09/06 16:13:43.720, 93 %, 32017 MiB, 388.87 W, 53
2026/09/06 16:13:43.971, 93 %, 32017 MiB, 367.56 W, 53
2026/09/06 16:13:44.221, 93 %, 32017 MiB, 367.56 W, 53
2026/09/06 16:13:44.471, 93 %, 32017 MiB, 367.78 W, 53
2026/09/06 16:13:44.722, 93 %, 32017 MiB, 367.78 W, 53
2026/09/06 16:13:44.972, 93 %, 32017 MiB, 389.85 W, 54
2026/09/06 16:13:45.222, 93 %, 32017 MiB, 389.85 W, 54
2026/09/06 16:13:45.472, 93 %, 32017 MiB, 386.11 W, 53
2026/09/06 16:13:45.722, 93 %, 32017 MiB, 386.11 W, 53
2026/09/06 16:13:45.973, 93 %, 32017 MiB, 366.49 W, 53
2026/09/06 16:13:46.223, 93 %, 32017 MiB, 366.49 W, 53
2026/09/06 16:13:46.473, 93 %, 32017 MiB, 387.77 W, 54
2026/09/06 16:13:46.723, 93 %, 32017 MiB, 387.77 W, 54
2026/09/06 16:13:46.973, 93 %, 32017 MiB, 387.31 W, 54
