timestamp, utilization.gpu [%], memory.used [MiB], power.draw [W], temperature.gpu
2026/09/06 16:20:42.094, 95 %, 27997 MiB, 409.11 W, 57
2026/09/06 16:20:42.345, 95 %, 27997 MiB, 409.11 W, 57
2026/09/06 16:20:42.595, 94 %, 27997 MiB, 407.56 W, 57
2026/09/06 16:20:42.845, 94 %, 27997 MiB, 407.56 W, 57
2026/09/06 16:20:43.095, 94 %, 27997 MiB, 389.43 W, 55
2026/09/06 16:20:43.345, 94 %, 27997 MiB, 389.43 W, 55
2026/09/06 16:20:43.596, 0 %, 27997 MiB, 254.26 W, 51
2026/09/06 16:20:43.846, 0 %, 27997 MiB, 254.26 W, 51
2026/09/06 16:20:44.096, 0 %, 27997 MiB, 134.18 W, 51
2026/09/06 16:20:44.346, 0 %, 27997 MiB, 134.18 W, 51
2026/09/06 16:20:44.597, 0 %, 27997 MiB, 98.43 W, 51
2026/09/06 16:20:44.847, 0 %, 27997 MiB, 98.43 W, 51
2026/09/06 16:20:45.097, 0 %, 27997 MiB, 96.14 W, 50
2026/09/06 16:20:45.347, 0 %, 27997 MiB, 96.14 W, 50
2026/09/06 16:20:45.597, 0 %, 27997 MiB, 83.38 W, 49
2026/09/06 16:20:45.848, 0 %, 27997 MiB, 83.38 W, 49
2026/09/06 16:20:46.098, 0 %, 27997 MiB, 73.00 W, 49
2026/09/06 16:20:46.349, 0 %, 27997 MiB, 73.00 W, 49
2026/09/06 16:20:46.599, 0 %, 27997 MiB, 72.83 W, 49
2026/09/06 16:20:46.849, 0 %, 27997 MiB, 72.83 W, 49
2026/09/06 16:20:47.100, 0 %, 27997 MiB, 72.78 W, 49
2026/09/06 16:20:47.350, 0 %, 27997 MiB, 72.78 W, 49
2026/09/06 16:20:47.600, 0 %, 27997 MiB, 72.70 W, 49
2026/09/06 16:20:47.851, 0 %, 27997 MiB, 72.70 W, 49
2026/09/06 16:20:48.101, 0 %, 27997 MiB, 72.40 W, 49
2026/09/06 16:20:48.351, 0 %, 27997 MiB, 72.40 W, 49
