timestamp, utilization.gpu [%], memory.used [MiB], power.draw [W], temperature.gpu, clocks.current.sm [MHz], clocks.current.memory [MHz]
2026/09/06 16:26:57.997, 94 %, 27997 MiB, 386.38 W, 54, 2865 MHz, 13801 MHz
2026/09/06 16:26:58.247, 94 %, 27997 MiB, 386.50 W, 54, 2857 MHz, 13801 MHz
2026/09/06 16:26:58.497, 94 %, 27997 MiB, 386.50 W, 54, 2857 MHz, 13801 MHz
2026/09/06 16:26:58.747, 94 %, 27997 MiB, 386.46 W, 54, 2857 MHz, 13801 MHz
2026/09/06 16:26:58.997, 94 %, 27997 MiB, 386.46 W, 54, 2857 MHz, 13801 MHz
2026/09/06 16:26:59.248, 94 %, 27997 MiB, 386.62 W, 54, 2857 MHz, 13801 MHz
2026/09/06 16:26:59.498, 94 %, 27997 MiB, 386.62 W, 54, 2857 MHz, 13801 MHz
2026/09/06 16:26:59.748, 95 %, 27997 MiB, 386.02 W, 54, 2857 MHz, 13801 MHz
2026/09/06 16:26:59.998, 95 %, 27997 MiB, 386.02 W, 54, 2857 MHz, 13801 MHz
2026/09/06 16:27:00.249, 95 %, 27997 MiB, 386.19 W, 54, 2857 MHz, 13801 MHz
2026/09/06 16:27:00.499, 95 %, 27997 MiB, 386.19 W, 54, 2857 MHz, 13801 MHz
2026/09/06 16:27:00.749, 94 %, 27997 MiB, 387.16 W, 54, 2857 MHz, 13801 MHz
2026/09/06 16:27:00.999, 94 %, 27997 MiB, 387.16 W, 54, 2857 MHz, 13801 MHz
2026/09/06 16:27:01.250, 94 %, 27997 MiB, 385.98 W, 54, 2857 MHz, 13801 MHz
2026/09/06 16:27:01.502, 94 %, 27997 MiB, 385.98 W, 54, 2857 MHz, 13801 MHz
2026/09/06 16:27:01.752, 95 %, 27997 MiB, 386.48 W, 55, 2857 MHz, 13801 MHz
2026/09/06 16:27:02.002, 95 %, 27997 MiB, 386.48 W, 55, 2857 MHz, 13801 MHz
2026/09/06 16:27:02.252, 95 %, 27997 MiB, 388.20 W, 55, 2857 MHz, 13801 MHz
2026/09/06 16:27:02.503, 95 %, 27997 MiB, 388.20 W, 55, 2857 MHz, 13801 MHz
2026/09/06 16:27:02.753, 94 %, 27997 MiB, 387.74 W, 55, 2857 MHz, 13801 MHz
2026/09/06 16:27:03.003, 94 %, 27997 MiB, 387.74 W, 55, 2857 MHz, 13801 MHz
2026/09/06 16:27:03.253, 94 %, 27997 MiB, 387.94 W, 55, 2857 MHz, 13801 MHz
2026/09/06 16:27:03.503, 94 %, 27997 MiB, 387.94 W, 55, 2857 MHz, 13801 MHz
2026/09/06 16:27:03.754, 94 %, 27997 MiB, 388.52 W, 55, 2857 MHz, 13801 MHz
2026/09/06 16:27:04.004, 94 %, 27997 MiB, 388.52 W, 55, 2857 MHz, 13801 MHz
2026/09/06 16:27:04.254, 94 %, 27997 MiB, 388.40 W, 55, 2857 MHz, 13801 MHz
2026/09/06 16:27:04.505, 94 %, 27997 MiB, 388.40 W, 55, 2857 MHz, 13801 MHz
2026/09/06 16:27:04.755, 94 %, 27997 MiB, 387.37 W, 56, 2857 MHz, 13801 MHz
2026/09/06 16:27:05.005, 94 %, 27997 MiB, 387.37 W, 56, 2857 MHz, 13801 MHz
2026/09/06 16:27:05.255, 94 %, 27997 MiB, 387.86 W, 56, 2857 MHz, 13801 MHz
2026/09/06 16:27:05.506, 94 %, 27997 MiB, 387.86 W, 56, 2857 MHz, 13801 MHz
2026/09/06 16:27:05.756, 94 %, 27997 MiB, 389.99 W, 56, 2857 MHz, 13801 MHz
2026/09/06 16:27:06.006, 94 %, 27997 MiB, 389.99 W, 56, 2857 MHz, 13801 MHz
2026/09/06 16:27:06.256, 94 %, 27997 MiB, 390.26 W, 56, 2857 MHz, 13801 MHz
2026/09/06 16:27:06.507, 94 %, 27997 MiB, 390.26 W, 56, 2857 MHz, 13801 MHz
2026/09/06 16:27:06.757, 95 %, 27997 MiB, 390.69 W, 56, 2857 MHz, 13801 MHz
2026/09/06 16:27:07.007, 95 %, 27997 MiB, 390.69 W, 56, 2857 MHz, 13801 MHz
2026/09/06 16:27:07.257, 95 %, 27997 MiB, 390.92 W, 56, 2857 MHz, 13801 MHz
2026/09/06 16:27:07.508, 95 %, 27997 MiB, 390.92 W, 56, 2857 MHz, 13801 MHz
2026/09/06 16:27:07.758, 94 %, 27997 MiB, 391.09 W, 56, 2857 MHz, 13801 MHz
2026/09/06 16:27:08.008, 94 %, 27997 MiB, 391.09 W, 56, 2857 MHz, 13801 MHz
2026/09/06 16:27:08.258, 94 %, 27997 MiB, 391.14 W, 56, 2857 MHz, 13801 MHz
2026/09/06 16:27:08.508, 94 %, 27997 MiB, 391.14 W, 56, 2857 MHz, 13801 MHz
2026/09/06 16:27:08.759, 95 %, 27997 MiB, 390.05 W, 56, 2857 MHz, 13801 MHz
2026/09/06 16:27:09.009, 95 %, 27997 MiB, 390.05 W, 56, 2857 MHz, 13801 MHz
2026/09/06 16:27:09.262, 95 %, 27997 MiB, 388.00 W, 56, 2857 MHz, 13801 MHz
2026/09/06 16:27:09.512, 95 %, 27997 MiB, 388.00 W, 56, 2857 MHz, 13801 MHz
2026/09/06 16:27:09.762, 95 %, 27997 MiB, 387.41 W, 56, 2857 MHz, 13801 MHz
2026/09/06 16:27:10.012, 95 %, 27997 MiB, 387.41 W, 56, 2857 MHz, 13801 MHz
2026/09/06 16:27:10.265, 95 %, 27997 MiB, 388.55 W, 57, 2857 MHz, 13801 MHz
2026/09/06 16:27:10.515, 95 %, 27997 MiB, 388.55 W, 57, 2857 MHz, 13801 MHz
2026/09/06 16:27:10.767, 95 %, 27997 MiB, 389.07 W, 57, 2857 MHz, 13801 MHz
2026/09/06 16:27:11.019, 95 %, 27997 MiB, 389.07 W, 57, 2857 MHz, 13801 MHz
2026/09/06 16:27:11.269, 95 %, 27997 MiB, 389.09 W, 57, 2857 MHz, 13801 MHz
2026/09/06 16:27:11.519, 95 %, 27997 MiB, 389.09 W, 57, 2857 MHz, 13801 MHz
2026/09/06 16:27:11.770, 94 %, 27997 MiB, 388.57 W, 57, 2857 MHz, 13801 MHz
2026/09/06 16:27:12.020, 94 %, 27997 MiB, 388.57 W, 57, 2857 MHz, 13801 MHz
2026/09/06 16:27:12.270, 94 %, 27997 MiB, 388.30 W, 57, 2857 MHz, 13801 MHz
2026/09/06 16:27:12.520, 94 %, 27997 MiB, 388.30 W, 57, 2857 MHz, 13801 MHz
2026/09/06 16:27:12.771, 95 %, 27997 MiB, 389.36 W, 57, 2857 MHz, 13801 MHz
2026/09/06 16:27:13.021, 95 %, 27997 MiB, 389.36 W, 57, 2857 MHz, 13801 MHz
2026/09/06 16:27:13.271, 95 %, 27997 MiB, 389.65 W, 57, 2857 MHz, 13801 MHz
2026/09/06 16:27:13.521, 95 %, 27997 MiB, 389.65 W, 57, 2857 MHz, 13801 MHz
2026/09/06 16:27:13.772, 95 %, 27997 MiB, 389.63 W, 57, 2857 MHz, 13801 MHz
2026/09/06 16:27:14.022, 95 %, 27997 MiB, 389.63 W, 57, 2857 MHz, 13801 MHz
2026/09/06 16:27:14.272, 95 %, 27997 MiB, 390.05 W, 57, 2857 MHz, 13801 MHz
2026/09/06 16:27:14.523, 95 %, 27997 MiB, 390.05 W, 57, 2857 MHz, 13801 MHz
2026/09/06 16:27:14.773, 95 %, 27997 MiB, 390.43 W, 58, 2857 MHz, 13801 MHz
2026/09/06 16:27:15.023, 95 %, 27997 MiB, 390.43 W, 58, 2857 MHz, 13801 MHz
2026/09/06 16:27:15.273, 95 %, 27997 MiB, 390.75 W, 58, 2857 MHz, 13801 MHz
2026/09/06 16:27:15.523, 95 %, 27997 MiB, 390.75 W, 58, 2857 MHz, 13801 MHz
2026/09/06 16:27:15.774, 95 %, 27997 MiB, 390.96 W, 58, 2857 MHz, 13801 MHz
2026/09/06 16:27:16.025, 95 %, 27997 MiB, 390.96 W, 58, 2857 MHz, 13801 MHz
2026/09/06 16:27:16.276, 95 %, 27997 MiB, 391.09 W, 58, 2857 MHz, 13801 MHz
2026/09/06 16:27:16.526, 95 %, 27997 MiB, 391.09 W, 58, 2857 MHz, 13801 MHz
2026/09/06 16:27:16.776, 95 %, 27997 MiB, 391.33 W, 58, 2857 MHz, 13801 MHz
2026/09/06 16:27:17.027, 95 %, 27997 MiB, 391.33 W, 58, 2857 MHz, 13801 MHz
2026/09/06 16:27:17.277, 95 %, 27997 MiB, 391.82 W, 58, 2857 MHz, 13801 MHz
2026/09/06 16:27:17.527, 95 %, 27997 MiB, 391.82 W, 58, 2857 MHz, 13801 MHz
2026/09/06 16:27:17.777, 95 %, 27997 MiB, 392.23 W, 58, 2857 MHz, 13801 MHz
2026/09/06 16:27:18.029, 95 %, 27997 MiB, 392.23 W, 58, 2857 MHz, 13801 MHz
2026/09/06 16:27:18.279, 95 %, 27997 MiB, 392.10 W, 58, 2857 MHz, 13801 MHz
2026/09/06 16:27:18.529, 95 %, 27997 MiB, 392.10 W, 58, 2857 MHz, 13801 MHz
2026/09/06 16:27:18.779, 95 %, 27997 MiB, 392.18 W, 58, 2857 MHz, 13801 MHz
2026/09/06 16:27:19.030, 95 %, 27997 MiB, 392.18 W, 58, 2857 MHz, 13801 MHz
2026/09/06 16:27:19.280, 95 %, 27997 MiB, 392.14 W, 58, 2857 MHz, 13801 MHz
