timestamp, utilization.gpu [%], memory.used [MiB], power.draw [W], temperature.gpu
2026/09/06 16:07:42.618, 95 %, 27889 MiB, 389.07 W, 54
2026/09/06 16:07:42.868, 95 %, 27889 MiB, 389.07 W, 54
2026/09/06 16:07:43.118, 95 %, 27889 MiB, 368.75 W, 54
2026/09/06 16:07:43.368, 95 %, 27889 MiB, 368.75 W, 54
2026/09/06 16:07:43.618, 91 %, 27889 MiB, 370.17 W, 54
2026/09/06 16:07:43.869, 91 %, 27889 MiB, 370.17 W, 54
2026/09/06 16:07:44.119, 91 %, 27889 MiB, 391.58 W, 54
2026/09/06 16:07:44.369, 91 %, 27889 MiB, 391.58 W, 54
2026/09/06 16:07:44.619, 95 %, 27889 MiB, 389.45 W, 54
2026/09/06 16:07:44.869, 95 %, 27889 MiB, 389.45 W, 54
2026/09/06 16:07:45.120, 95 %, 27889 MiB, 369.00 W, 54
2026/09/06 16:07:45.370, 95 %, 27889 MiB, 369.00 W, 54
2026/09/06 16:07:45.620, 92 %, 27889 MiB, 377.42 W, 55
2026/09/06 16:07:45.870, 92 %, 27889 MiB, 377.42 W, 55
2026/09/06 16:07:46.120, 92 %, 27889 MiB, 389.77 W, 55
2026/09/06 16:07:46.371, 92 %, 27889 MiB, 389.77 W, 55
2026/09/06 16:07:46.621, 95 %, 27889 MiB, 383.86 W, 55
2026/09/06 16:07:46.871, 95 %, 27889 MiB, 383.86 W, 55
2026/09/06 16:07:47.121, 95 %, 27889 MiB, 369.97 W, 55
2026/09/06 16:07:47.371, 95 %, 27889 MiB, 369.97 W, 55
2026/09/06 16:07:47.622, 93 %, 27889 MiB, 389.23 W, 62
2026/09/06 16:07:47.872, 93 %, 27889 MiB, 392.58 W, 62
2026/09/06 16:07:48.122, 93 %, 27889 MiB, 392.58 W, 55
2026/09/06 16:07:48.372, 93 %, 27889 MiB, 392.58 W, 55
2026/09/06 16:07:48.623, 95 %, 27889 MiB, 390.64 W, 55
2026/09/06 16:07:48.873, 95 %, 27889 MiB, 370.17 W, 55
2026/09/06 16:07:49.123, 95 %, 27889 MiB, 370.17 W, 55
2026/09/06 16:07:49.373, 95 %, 27889 MiB, 392.64 W, 55
2026/09/06 16:07:49.623, 95 %, 27889 MiB, 392.64 W, 56
2026/09/06 16:07:49.874, 95 %, 27889 MiB, 393.13 W, 56
2026/09/06 16:07:50.124, 95 %, 27889 MiB, 393.13 W, 56
2026/09/06 16:07:50.374, 95 %, 27889 MiB, 371.02 W, 56
2026/09/06 16:07:50.624, 95 %, 27889 MiB, 371.02 W, 56
2026/09/06 16:07:50.874, 95 %, 27889 MiB, 391.31 W, 56
2026/09/06 16:07:51.125, 95 %, 27889 MiB, 391.31 W, 56
2026/09/06 16:07:51.375, 95 %, 27889 MiB, 393.71 W, 56
2026/09/06 16:07:51.625, 95 %, 27889 MiB, 393.71 W, 56
2026/09/06 16:07:51.875, 95 %, 27889 MiB, 371.86 W, 56
2026/09/06 16:07:52.126, 95 %, 27889 MiB, 371.86 W, 56
2026/09/06 16:07:52.376, 95 %, 27889 MiB, 392.07 W, 56
2026/09/06 16:07:52.626, 95 %, 27889 MiB, 392.07 W, 56
2026/09/06 16:07:52.876, 95 %, 27889 MiB, 394.03 W, 56
2026/09/06 16:07:53.126, 95 %, 27889 MiB, 394.03 W, 56
2026/09/06 16:07:53.376, 95 %, 27889 MiB, 371.71 W, 56
2026/09/06 16:07:53.627, 95 %, 27889 MiB, 371.71 W, 56
2026/09/06 16:07:53.877, 95 %, 27889 MiB, 391.92 W, 57
2026/09/06 16:07:54.127, 95 %, 27889 MiB, 391.92 W, 57
2026/09/06 16:07:54.377, 95 %, 27889 MiB, 393.61 W, 56
2026/09/06 16:07:54.628, 95 %, 27889 MiB, 393.61 W, 56
2026/09/06 16:07:54.878, 95 %, 27889 MiB, 371.44 W, 56
2026/09/06 16:07:55.128, 95 %, 27889 MiB, 371.44 W, 56
2026/09/06 16:07:55.378, 95 %, 27889 MiB, 392.21 W, 57
2026/09/06 16:07:55.629, 95 %, 27889 MiB, 392.21 W, 57
2026/09/06 16:07:55.879, 95 %, 27889 MiB, 394.48 W, 57
2026/09/06 16:07:56.129, 95 %, 27889 MiB, 394.48 W, 57
2026/09/06 16:07:56.379, 95 %, 27889 MiB, 371.98 W, 57
2026/09/06 16:07:56.630, 95 %, 27889 MiB, 371.98 W, 57
2026/09/06 16:07:56.880, 95 %, 27889 MiB, 394.53 W, 57
2026/09/06 16:07:57.130, 95 %, 27889 MiB, 394.53 W, 57
2026/09/06 16:07:57.380, 95 %, 27889 MiB, 394.58 W, 57
2026/09/06 16:07:57.630, 95 %, 27889 MiB, 394.58 W, 57
2026/09/06 16:07:57.881, 95 %, 27889 MiB, 372.25 W, 57
2026/09/06 16:07:58.131, 95 %, 27889 MiB, 372.25 W, 57
2026/09/06 16:07:58.381, 95 %, 27889 MiB, 391.88 W, 58
2026/09/06 16:07:58.631, 95 %, 27889 MiB, 391.88 W, 58
2026/09/06 16:07:58.881, 95 %, 27889 MiB, 392.29 W, 57
2026/09/06 16:07:59.132, 95 %, 27889 MiB, 392.29 W, 57
2026/09/06 16:07:59.382, 95 %, 27889 MiB, 373.00 W, 57
2026/09/06 16:07:59.632, 95 %, 27889 MiB, 373.00 W, 57
2026/09/06 16:07:59.882, 95 %, 27889 MiB, 373.00 W, 57
2026/09/06 16:08:00.133, 95 %, 27889 MiB, 373.00 W, 57
2026/09/06 16:08:00.383, 0 %, 27889 MiB, 249.83 W, 52
2026/09/06 16:08:00.633, 0 %, 27889 MiB, 249.83 W, 52
2026/09/06 16:08:00.883, 0 %, 27889 MiB, 112.74 W, 52
2026/09/06 16:08:01.134, 0 %, 27889 MiB, 112.74 W, 52
2026/09/06 16:08:01.384, 0 %, 27889 MiB, 99.06 W, 51
2026/09/06 16:08:01.634, 0 %, 27889 MiB, 99.06 W, 51
2026/09/06 16:08:01.884, 0 %, 27889 MiB, 93.73 W, 51
2026/09/06 16:08:02.134, 0 %, 27889 MiB, 93.73 W, 51
2026/09/06 16:08:02.385, 0 %, 27889 MiB, 80.55 W, 50
2026/09/06 16:08:02.635, 0 %, 27889 MiB, 80.55 W, 50
2026/09/06 16:08:02.885, 0 %, 27889 MiB, 72.59 W, 50
2026/09/06 16:08:03.135, 0 %, 27889 MiB, 72.59 W, 50
2026/09/06 16:08:03.386, 0 %, 27889 MiB, 72.57 W, 50
2026/09/06 16:08:03.636, 0 %, 27889 MiB, 72.57 W, 50
2026/09/06 16:08:03.886, 0 %, 27889 MiB, 72.37 W, 50
2026/09/06 16:08:04.136, 0 %, 27889 MiB, 72.37 W, 50
2026/09/06 16:08:04.386, 0 %, 27889 MiB, 72.35 W, 50
