timestamp, utilization.gpu [%], memory.used [MiB], power.draw [W], temperature.gpu
2026/09/06 16:38:09.808, 94 %, 28337 MiB, 405.71 W, 58
2026/09/06 16:38:10.058, 94 %, 28337 MiB, 405.71 W, 58
2026/09/06 16:38:10.309, 94 %, 28337 MiB, 388.56 W, 58
2026/09/06 16:38:10.559, 94 %, 28337 MiB, 388.56 W, 58
2026/09/06 16:38:10.809, 92 %, 28337 MiB, 404.60 W, 59
2026/09/06 16:38:11.059, 92 %, 28337 MiB, 404.60 W, 59
2026/09/06 16:38:11.310, 92 %, 28337 MiB, 406.54 W, 59
2026/09/06 16:38:11.560, 92 %, 28337 MiB, 406.54 W, 59
2026/09/06 16:38:11.810, 95 %, 28337 MiB, 389.36 W, 59
2026/09/06 16:38:12.060, 95 %, 28337 MiB, 389.36 W, 59
2026/09/06 16:38:12.310, 95 %, 28337 MiB, 407.45 W, 59
2026/09/06 16:38:12.603, 95 %, 28337 MiB, 407.45 W, 59
2026/09/06 16:38:12.853, 92 %, 28337 MiB, 405.27 W, 59
2026/09/06 16:38:13.104, 92 %, 28337 MiB, 405.27 W, 59
2026/09/06 16:38:13.354, 92 %, 28337 MiB, 406.62 W, 59
2026/09/06 16:38:13.604, 92 %, 28337 MiB, 406.62 W, 59
2026/09/06 16:38:13.854, 94 %, 28337 MiB, 405.57 W, 59
2026/09/06 16:38:14.104, 94 %, 28337 MiB, 405.57 W, 59
2026/09/06 16:38:14.355, 94 %, 28337 MiB, 395.68 W, 62
2026/09/06 16:38:14.605, 94 %, 28337 MiB, 395.68 W, 62
2026/09/06 16:38:14.855, 94 %, 28337 MiB, 406.17 W, 59
2026/09/06 16:38:15.106, 94 %, 28337 MiB, 406.17 W, 59
2026/09/06 16:38:15.356, 94 %, 28337 MiB, 402.31 W, 59
2026/09/06 16:38:15.606, 94 %, 28337 MiB, 402.31 W, 59
2026/09/06 16:38:15.856, 95 %, 28337 MiB, 390.02 W, 59
2026/09/06 16:38:16.107, 95 %, 28337 MiB, 390.02 W, 59
2026/09/06 16:38:16.357, 95 %, 28337 MiB, 405.86 W, 60
2026/09/06 16:38:16.607, 95 %, 28337 MiB, 405.86 W, 60
2026/09/06 16:38:16.857, 94 %, 28337 MiB, 406.10 W, 60
2026/09/06 16:38:17.108, 94 %, 28337 MiB, 406.10 W, 60
2026/09/06 16:38:17.358, 94 %, 28337 MiB, 390.12 W, 60
2026/09/06 16:38:17.608, 94 %, 28337 MiB, 390.12 W, 60
2026/09/06 16:38:17.858, 94 %, 28337 MiB, 390.13 W, 60
