timestamp, utilization.gpu [%], memory.used [MiB], power.draw [W], temperature.gpu, clocks.current.sm [MHz], clocks.current.memory [MHz]
2026/09/06 16:48:11.165, 94 %, 31897 MiB, 418.94 W, 69, 2812 MHz, 13801 MHz
2026/09/06 16:48:11.415, 94 %, 31897 MiB, 423.08 W, 69, 2812 MHz, 13801 MHz
2026/09/06 16:48:11.665, 94 %, 31897 MiB, 423.08 W, 69, 2812 MHz, 13801 MHz
2026/09/06 16:48:11.915, 100 %, 31897 MiB, 421.82 W, 68, 2805 MHz, 13801 MHz
2026/09/06 16:48:12.165, 100 %, 31897 MiB, 421.82 W, 68, 2805 MHz, 13801 MHz
2026/09/06 16:48:12.416, 100 %, 31897 MiB, 421.58 W, 66, 2812 MHz, 13801 MHz
2026/09/06 16:48:12.666, 100 %, 31897 MiB, 421.58 W, 66, 2812 MHz, 13801 MHz
2026/09/06 16:48:12.916, 100 %, 31897 MiB, 422.72 W, 67, 2820 MHz, 13801 MHz
2026/09/06 16:48:13.166, 100 %, 31897 MiB, 422.72 W, 67, 2820 MHz, 13801 MHz
2026/09/06 16:48:13.416, 100 %, 31897 MiB, 420.44 W, 69, 2820 MHz, 13801 MHz
2026/09/06 16:48:13.666, 100 %, 31897 MiB, 420.44 W, 69, 2820 MHz, 13801 MHz
2026/09/06 16:48:13.917, 93 %, 31897 MiB, 419.74 W, 68, 2812 MHz, 13801 MHz
2026/09/06 16:48:14.167, 93 %, 31897 MiB, 419.74 W, 68, 2812 MHz, 13801 MHz
2026/09/06 16:48:14.417, 93 %, 31897 MiB, 422.66 W, 67, 2805 MHz, 13801 MHz
2026/09/06 16:48:14.667, 93 %, 31897 MiB, 422.66 W, 67, 2805 MHz, 13801 MHz
2026/09/06 16:48:14.917, 100 %, 31897 MiB, 418.60 W, 70, 2805 MHz, 13801 MHz
2026/09/06 16:48:15.167, 100 %, 31897 MiB, 418.60 W, 70, 2805 MHz, 13801 MHz
2026/09/06 16:48:15.418, 100 %, 31897 MiB, 417.75 W, 66, 2797 MHz, 13801 MHz
2026/09/06 16:48:15.668, 100 %, 31897 MiB, 417.75 W, 66, 2797 MHz, 13801 MHz
2026/09/06 16:48:15.918, 100 %, 31897 MiB, 422.67 W, 70, 2812 MHz, 13801 MHz
2026/09/06 16:48:16.168, 100 %, 31897 MiB, 422.67 W, 70, 2812 MHz, 13801 MHz
2026/09/06 16:48:16.418, 100 %, 31897 MiB, 420.36 W, 69, 2812 MHz, 13801 MHz
2026/09/06 16:48:16.668, 100 %, 31897 MiB, 420.36 W, 69, 2812 MHz, 13801 MHz
2026/09/06 16:48:16.918, 94 %, 31897 MiB, 420.10 W, 70, 2812 MHz, 13801 MHz
2026/09/06 16:48:17.169, 94 %, 31897 MiB, 420.10 W, 70, 2812 MHz, 13801 MHz
2026/09/06 16:48:17.419, 94 %, 31897 MiB, 421.74 W, 69, 2812 MHz, 13801 MHz
2026/09/06 16:48:17.669, 94 %, 31897 MiB, 421.74 W, 69, 2812 MHz, 13801 MHz
2026/09/06 16:48:17.919, 100 %, 31897 MiB, 419.75 W, 70, 2805 MHz, 13801 MHz
2026/09/06 16:48:18.170, 100 %, 31897 MiB, 419.75 W, 70, 2805 MHz, 13801 MHz
2026/09/06 16:48:18.420, 100 %, 31897 MiB, 417.19 W, 68, 2797 MHz, 13801 MHz
2026/09/06 16:48:18.670, 100 %, 31897 MiB, 417.19 W, 68, 2797 MHz, 13801 MHz
